,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2008,1
1,1,2008-02-01,Madhya Pradesh,Jabalpur,Maize,2.0,600.0,600.0,600.0,2008,2
2,2,2008-03-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2008,3
3,3,2008-04-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2008,4
4,4,2008-05-01,Madhya Pradesh,Jabalpur,Maize,2.0,650.0,650.0,650.0,2008,5
5,5,2008-06-01,Madhya Pradesh,Jabalpur,Maize,2.0,650.0,650.0,650.0,2008,6
7,6,2008-07-01,Madhya Pradesh,Jabalpur,Maize,2.0,600.0,600.0,600.0,2008,7
9,7,2008-08-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2008,8
10,8,2008-09-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2008,9
11,9,2008-10-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2008,10
12,10,2008-11-01,Madhya Pradesh,Jabalpur,Maize,2.0,550.0,550.0,550.0,2008,11
13,11,2008-12-01,Madhya Pradesh,Jabalpur,Maize,1.4,710.0,758.0,720.0,2008,12
15,12,2009-01-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2009,1
16,13,2009-02-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2009,2
17,14,2009-03-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2009,3
18,15,2009-04-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2009,4
19,16,2009-05-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2009,5
20,17,2009-06-01,Madhya Pradesh,Jabalpur,Maize,2.6775510204081643,1079.3469387755101,1091.795918367347,1087.3061224489795,2009,6
