,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karnataka,Bijapura,Wheat,5.0,1225.0,1350.0,1300.0,2008,1
36,2008-02-01,Karnataka,Bijapura,Wheat,6.0,1225.0,1350.0,1300.0,2008,2
82,2008-03-01,Karnataka,Bijapura,Wheat,11.0,1250.0,1450.0,1350.0,2008,3
129,2008-04-01,Karnataka,Bijapura,Wheat,7.0,1300.0,1600.0,1500.0,2008,4
185,2008-05-01,Karnataka,Bijapura,Wheat,17.0,1250.0,1700.0,1450.0,2008,5
239,2008-06-01,Karnataka,Bijapura,Wheat,27.0,1250.0,1650.0,1500.0,2008,6
294,2008-07-01,Karnataka,Bijapura,Wheat,16.0,1225.0,1550.0,1500.0,2008,7
350,2008-08-01,Karnataka,Bijapura,Wheat,20.0,1300.0,1600.0,1500.0,2008,8
398,2008-09-01,Karnataka,Bijapura,Wheat,9.0,1250.0,1600.0,1500.0,2008,9
428,2008-10-01,Karnataka,Bijapura,Wheat,50.0,1200.0,1400.0,1300.0,2008,10
472,2008-11-01,Karnataka,Bijapura,Wheat,10.0,1250.0,1350.0,1300.0,2008,11
512,2008-12-01,Karnataka,Bijapura,Wheat,21.0,1200.0,1300.0,1250.0,2008,12
534,2009-01-01,Karnataka,Bijapura,Wheat,1.0,1250.0,1300.0,1280.0,2009,1
561,2009-02-01,Karnataka,Bijapura,Wheat,12.0,1250.0,1325.0,1300.0,2009,2
606,2009-03-01,Karnataka,Bijapura,Wheat,10.0,1000.0,1075.0,1025.0,2009,3
640,2009-04-01,Karnataka,Bijapura,Wheat,20.0,1000.0,1400.0,1300.0,2009,4
686,2009-05-01,Karnataka,Bijapura,Wheat,15.0,1300.0,1700.0,1600.0,2009,5
723,2009-06-01,Karnataka,Bijapura,Wheat,9.0,1225.0,1600.0,1500.0,2009,6
770,2009-07-01,Karnataka,Bijapura,Wheat,20.0,1200.0,1550.0,1450.0,2009,7
797,2009-08-01,Karnataka,Bijapura,Wheat,17.0,1200.0,1558.3333333333333,1475.0,2009,8
798,2009-09-01,Karnataka,Bijapura,Wheat,14.0,1200.0,1566.6666666666667,1500.0,2009,9
799,2009-10-01,Karnataka,Bijapura,Wheat,11.0,1200.0,1575.0,1525.0,2009,10
824,2009-11-01,Karnataka,Bijapura,Wheat,4.0,1250.0,1700.0,1600.0,2009,11
839,2009-12-01,Karnataka,Bijapura,Wheat,5.0,1325.0,1800.0,1600.0,2009,12
851,2010-01-01,Karnataka,Bijapura,Wheat,10.0,1500.0,1500.0,1500.0,2010,1
853,2010-02-01,Karnataka,Bijapura,Wheat,2.0,1350.0,1800.0,1550.0,2010,2
871,2010-03-01,Karnataka,Bijapura,Wheat,8.0,1250.0,1600.0,1450.0,2010,3
894,2010-04-01,Karnataka,Bijapura,Wheat,3.0,1300.0,1600.0,1400.0,2010,4
908,2010-05-01,Karnataka,Bijapura,Wheat,5.0,2200.0,2400.0,2300.0,2010,5
918,2010-06-01,Karnataka,Bijapura,Wheat,4.0,1300.0,1600.0,1500.0,2010,6
929,2010-07-01,Karnataka,Bijapura,Wheat,5.0,1250.0,1700.0,1600.0,2010,7
931,2010-08-01,Karnataka,Bijapura,Wheat,21.0,1100.0,1600.0,1500.0,2010,8
939,2010-09-01,Karnataka,Bijapura,Wheat,2.0,1300.0,1550.0,1400.0,2010,9
953,2010-10-01,Karnataka,Bijapura,Wheat,2.0,1250.0,1600.0,1500.0,2010,10
979,2010-11-01,Karnataka,Bijapura,Wheat,3.0,1300.0,1600.0,1500.0,2010,11
981,2010-12-01,Karnataka,Bijapura,Wheat,3.5,0.0,0.0,1190.0,2010,12
983,2011-01-01,Karnataka,Bijapura,Wheat,3.0,0.0,0.0,1205.0,2011,1
987,2011-02-01,Karnataka,Bijapura,Wheat,6.0,1400.0,1900.0,1750.0,2011,2
991,2011-03-01,Karnataka,Bijapura,Wheat,10.0,1350.0,1800.0,1650.0,2011,3
992,2011-04-01,Karnataka,Bijapura,Wheat,14.0,1300.0,1700.0,1550.0,2011,4
1022,2011-05-01,Karnataka,Bijapura,Wheat,12.0,1300.0,1700.0,1600.0,2011,5
1049,2011-06-01,Karnataka,Bijapura,Wheat,10.0,1200.0,2000.0,1600.0,2011,6
1075,2011-07-01,Karnataka,Bijapura,Wheat,13.0,1250.0,2000.0,1700.0,2011,7
1126,2011-08-01,Karnataka,Bijapura,Wheat,5.0,1250.0,2000.0,1700.0,2011,8
1168,2011-09-01,Karnataka,Bijapura,Wheat,12.0,1250.0,2000.0,1700.0,2011,9
1224,2011-10-01,Karnataka,Bijapura,Wheat,7.0,1200.0,1800.0,1500.0,2011,10
1268,2011-11-01,Karnataka,Bijapura,Wheat,15.0,1200.0,1800.0,1500.0,2011,11
1321,2011-12-01,Karnataka,Bijapura,Wheat,5.0,1300.0,1800.0,1600.0,2011,12
1367,2012-01-01,Karnataka,Bijapura,Wheat,6.0,1200.0,1800.0,1600.0,2012,1
1415,2012-02-01,Karnataka,Bijapura,Wheat,13.0,1200.0,1600.0,1500.0,2012,2
1475,2012-03-01,Karnataka,Bijapura,Wheat,11.0,1200.0,1800.0,1600.0,2012,3
1535,2012-04-01,Karnataka,Bijapura,Wheat,21.0,1200.0,2000.0,1600.0,2012,4
1580,2012-05-01,Karnataka,Bijapura,Wheat,302.0,1225.0,2100.0,1600.0,2012,5
1633,2012-06-01,Karnataka,Bijapura,Wheat,6.0,1200.0,2000.0,1600.0,2012,6
1680,2012-07-01,Karnataka,Bijapura,Wheat,3.0,1850.0,1950.0,1900.0,2012,7
1716,2012-08-01,Karnataka,Bijapura,Wheat,5.0,2300.0,2500.0,2450.0,2012,8
1746,2012-09-01,Karnataka,Bijapura,Wheat,10.0,1400.0,2000.0,1600.0,2012,9
1779,2012-10-01,Karnataka,Bijapura,Wheat,218.0,1400.0,2000.0,1600.0,2012,10
1822,2012-11-01,Karnataka,Bijapura,Wheat,22.0,1400.0,2000.0,1600.0,2012,11
1871,2012-12-01,Karnataka,Bijapura,Wheat,62.0,1500.0,2000.0,1700.0,2012,12
1921,2013-01-01,Karnataka,Bijapura,Wheat,1.0,1775.0,1825.0,1800.0,2013,1
1957,2013-02-01,Karnataka,Bijapura,Wheat,11.0,1500.0,2000.0,1800.0,2013,2
1991,2013-03-01,Karnataka,Bijapura,Wheat,43.0,1800.0,1900.0,1850.0,2013,3
2021,2013-04-01,Karnataka,Bijapura,Wheat,10.0,1600.0,2000.0,1800.0,2013,4
2048,2013-05-01,Karnataka,Bijapura,Wheat,5.0,2000.0,2150.0,2100.0,2013,5
2072,2013-06-01,Karnataka,Bijapura,Wheat,16.0,2000.0,2100.0,2050.0,2013,6
2109,2013-07-01,Karnataka,Bijapura,Wheat,2.0,1650.0,2200.0,1900.0,2013,7
2143,2013-08-01,Karnataka,Bijapura,Wheat,27.5,1650.0,2500.0,2050.0,2013,8
2144,2013-09-01,Karnataka,Bijapura,Wheat,53.0,1650.0,2800.0,2200.0,2013,9
2153,2013-10-01,Karnataka,Bijapura,Wheat,37.0,1650.0,2800.0,2200.0,2013,10
2158,2013-11-01,Karnataka,Bijapura,Wheat,27.666666666666664,1966.6666666666667,2816.6666666666665,2383.3333333333335,2013,11
2159,2013-12-01,Karnataka,Bijapura,Wheat,18.333333333333332,2283.3333333333335,2833.3333333333335,2566.6666666666665,2013,12
2160,2014-01-01,Karnataka,Bijapura,Wheat,9.0,2600.0,2850.0,2750.0,2014,1
2190,2014-02-01,Karnataka,Bijapura,Wheat,18.0,1650.0,2700.0,2200.0,2014,2
2229,2014-03-01,Karnataka,Bijapura,Wheat,12.0,1650.0,2800.0,2200.0,2014,3
2279,2014-04-01,Karnataka,Bijapura,Wheat,74.0,1700.0,2800.0,2200.0,2014,4
2320,2014-05-01,Karnataka,Bijapura,Wheat,58.0,1650.0,2800.0,2200.0,2014,5
2370,2014-06-01,Karnataka,Bijapura,Wheat,36.0,1650.0,3000.0,2200.0,2014,6
2421,2014-07-01,Karnataka,Bijapura,Wheat,37.0,1650.0,3000.0,2300.0,2014,7
2474,2014-08-01,Karnataka,Bijapura,Wheat,30.0,1650.0,2800.0,2200.0,2014,8
2526,2014-09-01,Karnataka,Bijapura,Wheat,23.0,1650.0,2800.0,2200.0,2014,9
2584,2014-10-01,Karnataka,Bijapura,Wheat,181.0,1650.0,2800.0,2200.0,2014,10
2616,2014-11-01,Karnataka,Bijapura,Wheat,70.0,1650.0,2800.0,2200.0,2014,11
2654,2014-12-01,Karnataka,Bijapura,Wheat,125.0,1650.0,2800.0,2200.0,2014,12
2655,2015-01-01,Karnataka,Bijapura,Wheat,180.0,1650.0,2800.0,2200.0,2015,1
2704,2015-02-01,Karnataka,Bijapura,Wheat,261.0,1650.0,2800.0,2200.0,2015,2
2750,2015-03-01,Karnataka,Bijapura,Wheat,38.0,1650.0,2800.0,2200.0,2015,3
2799,2015-04-01,Karnataka,Bijapura,Wheat,27.0,1700.0,2800.0,2200.0,2015,4
