,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Karnataka,Shimoga,Wheat,1.0,1400.0,1600.0,1500.0,2008,1
18,2008-02-01,Karnataka,Shimoga,Wheat,4.0,1350.0,1600.0,1475.0,2008,2
40,2008-03-01,Karnataka,Shimoga,Wheat,1.0,1350.0,1600.0,1475.0,2008,3
57,2008-04-01,Karnataka,Shimoga,Wheat,1.0,1350.0,1600.0,1475.0,2008,4
73,2008-05-01,Karnataka,Shimoga,Wheat,1.0,1350.0,1600.0,1475.0,2008,5
91,2008-06-01,Karnataka,Shimoga,Wheat,13.0,1600.0,1700.0,1650.0,2008,6
110,2008-07-01,Karnataka,Shimoga,Wheat,2.0,1261.0,1600.0,1430.0,2008,7
122,2008-08-01,Karnataka,Shimoga,Wheat,1.0,1500.0,1600.0,1550.0,2008,8
138,2008-09-01,Karnataka,Shimoga,Wheat,2.0,1500.0,1600.0,1550.0,2008,9
150,2008-10-01,Karnataka,Shimoga,Wheat,4.0,1500.0,1600.0,1550.0,2008,10
165,2008-11-01,Karnataka,Shimoga,Wheat,1.0,1500.0,1600.0,1550.0,2008,11
184,2008-12-01,Karnataka,Shimoga,Wheat,1.0,1500.0,1600.0,1550.0,2008,12
194,2009-01-01,Karnataka,Shimoga,Wheat,2.7,1050.0,1250.0,1150.0,2009,1
220,2009-02-01,Karnataka,Shimoga,Wheat,1.0,1500.0,1600.0,1550.0,2009,2
239,2009-03-01,Karnataka,Shimoga,Wheat,2.0,1500.0,1610.0,1555.0,2009,3
256,2009-04-01,Karnataka,Shimoga,Wheat,1.0,1700.0,1800.0,1750.0,2009,4
267,2009-05-01,Karnataka,Shimoga,Wheat,16.0,1700.0,1800.0,1750.0,2009,5
278,2009-06-01,Karnataka,Shimoga,Wheat,3.0,1500.0,1600.0,1550.0,2009,6
296,2009-07-01,Karnataka,Shimoga,Wheat,3.0,1600.0,1700.0,1650.0,2009,7
306,2009-08-01,Karnataka,Shimoga,Wheat,25.0,1500.0,1800.0,1650.0,2009,8
