,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Uttar Pradesh,Gorakhpur,Maize,12.0,840.0,0.0,885.0,2008,1
17,1,2008-02-01,Uttar Pradesh,Gorakhpur,Maize,5.0,845.0,900.0,875.0,2008,2
23,2,2008-03-01,Uttar Pradesh,Gorakhpur,Maize,10.0,880.0,940.0,910.0,2008,3
32,3,2008-04-01,Uttar Pradesh,Gorakhpur,Maize,18.0,880.0,920.0,915.0,2008,4
48,4,2008-05-01,Uttar Pradesh,Gorakhpur,Maize,7.5,825.0,920.0,910.0,2008,5
61,5,2008-06-01,Uttar Pradesh,Gorakhpur,Maize,8.0,870.0,920.0,910.0,2008,6
72,6,2008-07-01,Uttar Pradesh,Gorakhpur,Maize,8.0,870.0,930.0,910.0,2008,7
85,7,2008-08-01,Uttar Pradesh,Gorakhpur,Maize,8.0,870.0,930.0,910.0,2008,8
94,8,2008-09-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2008,9
95,9,2008-10-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2008,10
96,10,2008-11-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2008,11
97,11,2008-12-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2008,12
98,12,2009-01-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,1
99,13,2009-02-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,2
100,14,2009-03-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,3
101,15,2009-04-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,4
102,16,2009-05-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,5
103,17,2009-06-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,6
104,18,2009-07-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,7
105,19,2009-08-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,8
106,20,2009-09-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,9
107,21,2009-10-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,10
108,22,2009-11-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,11
109,23,2009-12-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2009,12
110,24,2010-01-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,1
111,25,2010-02-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,2
112,26,2010-03-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,3
113,27,2010-04-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,4
114,28,2010-05-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,5
115,29,2010-06-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,6
116,30,2010-07-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,7
117,31,2010-08-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,8
118,32,2010-09-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,9
119,33,2010-10-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,10
120,34,2010-11-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,11
121,35,2010-12-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2010,12
122,36,2011-01-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,1
123,37,2011-02-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,2
124,38,2011-03-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,3
125,39,2011-04-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,4
126,40,2011-05-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,5
127,41,2011-06-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,6
128,42,2011-07-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,7
129,43,2011-08-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,8
130,44,2011-09-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,9
131,45,2011-10-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,10
132,46,2011-11-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,11
133,47,2011-12-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2011,12
134,48,2012-01-01,Uttar Pradesh,Gorakhpur,Maize,23.91860465116279,1097.3255813953488,1136.5116279069769,1321.3953488372092,2012,1
