,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,1
1,2008-02-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,2
2,2008-03-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,3
3,2008-04-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,4
4,2008-05-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,5
5,2008-06-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,6
6,2008-07-01,,West Bengal,Malda,Maize,12.00909090909091,1279.040404040404,1317.5252525252524,1298.2828282828282,2008,7
7,2008-08-01,67343.0,West Bengal,Malda,Maize,10.0,925.0,960.0,940.0,2008,8
9,2008-09-01,72967.0,West Bengal,Malda,Maize,15.0,890.0,920.0,900.0,2008,9
32,2008-10-01,82355.0,West Bengal,Malda,Maize,10.0,900.0,920.0,910.0,2008,10
44,2008-11-01,86689.0,West Bengal,Malda,Maize,15.0,950.0,1000.0,970.0,2008,11
62,2008-12-01,92611.0,West Bengal,Malda,Maize,0.5,960.0,990.0,970.0,2008,12
92,2009-01-01,100096.0,West Bengal,Malda,Maize,15.0,1040.0,1070.0,1050.0,2009,1
116,2009-02-01,107484.0,West Bengal,Malda,Maize,1.0,1060.0,1090.0,1075.0,2009,2
144,2009-03-01,114930.0,West Bengal,Malda,Maize,1.5,1050.0,1070.0,1060.0,2009,3
170,2009-04-01,122829.0,West Bengal,Malda,Maize,5.0,920.0,940.0,930.0,2009,4
179,2009-05-01,138458.0,West Bengal,Malda,Maize,20.0,850.0,900.0,880.0,2009,5
181,2009-06-01,142696.0,West Bengal,Malda,Maize,1.5,900.0,930.0,920.0,2009,6
211,2009-07-01,149967.0,West Bengal,Malda,Maize,1.0,890.0,910.0,900.0,2009,7
220,2009-08-01,158762.0,West Bengal,Malda,Maize,10.0,980.0,1020.0,1000.0,2009,8
233,2009-09-01,165437.0,West Bengal,Malda,Maize,1.0,1030.0,1050.0,1040.0,2009,9
256,2009-10-01,177148.0,West Bengal,Malda,Maize,1.5,1040.0,1060.0,1050.0,2009,10
276,2009-11-01,183453.0,West Bengal,Malda,Maize,0.6,1110.0,1140.0,1125.0,2009,11
305,2009-12-01,193409.0,West Bengal,Malda,Maize,0.5,1240.0,1270.0,1250.0,2009,12
332,2010-01-01,202939.0,West Bengal,Malda,Maize,0.8,1290.0,1310.0,1300.0,2010,1
358,2010-02-01,211842.0,West Bengal,Malda,Maize,1.0,1220.0,1270.0,1250.0,2010,2
385,2010-03-01,220671.0,West Bengal,Malda,Maize,0.6,1180.0,1220.0,1200.0,2010,3
415,2010-04-01,230843.0,West Bengal,Malda,Maize,20.0,890.0,910.0,900.0,2010,4
433,2010-05-01,245097.0,West Bengal,Malda,Maize,2.5,990.0,1010.0,1000.0,2010,5
464,2010-06-01,256524.0,West Bengal,Malda,Maize,1.5,1000.0,1020.0,1010.0,2010,6
493,2010-07-01,266750.0,West Bengal,Malda,Maize,25.0,1080.0,1120.0,1100.0,2010,7
520,2010-08-01,276458.0,West Bengal,Malda,Maize,0.3,1050.0,1100.0,1080.0,2010,8
551,2010-09-01,286292.0,West Bengal,Malda,Maize,0.8,1050.0,1070.0,1060.0,2010,9
580,2010-10-01,295974.0,West Bengal,Malda,Maize,0.5,1050.0,1080.0,1070.0,2010,10
610,2010-11-01,306076.0,West Bengal,Malda,Maize,1.0,1050.0,1080.0,1070.0,2010,11
640,2010-12-01,314621.0,West Bengal,Malda,Maize,1.0,1220.0,1240.0,1230.0,2010,12
670,2011-01-01,324186.0,West Bengal,Malda,Maize,10.0,1120.0,1150.0,1140.0,2011,1
701,2011-02-01,334004.0,West Bengal,Malda,Maize,15.0,1260.0,1280.0,1270.0,2011,2
729,2011-03-01,343339.0,West Bengal,Malda,Maize,40.0,1260.0,1280.0,1270.0,2011,3
760,2011-04-01,353253.0,West Bengal,Malda,Maize,30.0,1240.0,1260.0,1250.0,2011,4
781,2011-05-01,365669.0,West Bengal,Malda,Maize,25.0,980.0,1010.0,1000.0,2011,5
809,2011-06-01,378950.0,West Bengal,Malda,Maize,10.0,990.0,1010.0,1000.0,2011,6
837,2011-07-01,390078.0,West Bengal,Malda,Maize,7.0,940.0,970.0,960.0,2011,7
868,2011-08-01,401257.0,West Bengal,Malda,Maize,1.5,960.0,980.0,970.0,2011,8
897,2011-09-01,411053.0,West Bengal,Malda,Maize,15.0,940.0,960.0,950.0,2011,9
927,2011-10-01,423230.0,West Bengal,Malda,Maize,1.5,950.0,970.0,960.0,2011,10
949,2011-11-01,430306.0,West Bengal,Malda,Maize,1.0,970.0,1000.0,980.0,2011,11
977,2011-12-01,440884.0,West Bengal,Malda,Maize,15.0,1040.0,1060.0,1050.0,2011,12
1006,2012-01-01,451142.0,West Bengal,Malda,Maize,1.5,1010.0,1040.0,1025.0,2012,1
1036,2012-02-01,460375.0,West Bengal,Malda,Maize,0.8,1090.0,1120.0,1100.0,2012,2
1061,2012-03-01,468563.0,West Bengal,Malda,Maize,15.0,1000.0,1020.0,1010.0,2012,3
1091,2012-04-01,477515.0,West Bengal,Malda,Maize,2.5,940.0,960.0,950.0,2012,4
1114,2012-05-01,490151.0,West Bengal,Malda,Maize,2.0,1010.0,1040.0,1030.0,2012,5
1135,2012-06-01,504265.0,West Bengal,Malda,Maize,2.0,1050.0,1080.0,1060.0,2012,6
1159,2012-07-01,515209.0,West Bengal,Malda,Maize,4.0,1040.0,1060.0,1050.0,2012,7
1184,2012-08-01,527004.0,West Bengal,Malda,Maize,1.5,1290.0,1320.0,1300.0,2012,8
1211,2012-09-01,537458.0,West Bengal,Malda,Maize,1.0,1430.0,1460.0,1450.0,2012,9
