,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,1
1,2008-02-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,2
2,2008-03-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,3
3,2008-04-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,4
4,2008-05-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,5
5,2008-06-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,6
6,2008-07-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,7
7,2008-08-01,6184.0,West Bengal,Dakshin Dinajpur,Maize,154.0,1540.0,1600.0,1580.0,2008,8
8,2008-09-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,9
9,2008-10-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,10
10,2008-11-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,11
11,2008-12-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2008,12
12,2009-01-01,67482.0,West Bengal,Dakshin Dinajpur,Maize,60.0,1610.0,1710.0,1700.0,2009,1
23,2009-02-01,65118.0,West Bengal,Dakshin Dinajpur,Maize,65.0,1610.0,1690.0,1680.0,2009,2
48,2009-03-01,67844.0,West Bengal,Dakshin Dinajpur,Maize,63.0,1625.0,1720.0,1710.0,2009,3
78,2009-04-01,72904.0,West Bengal,Dakshin Dinajpur,Maize,32.0,1610.0,1690.0,1675.0,2009,4
106,2009-05-01,72984.0,West Bengal,Dakshin Dinajpur,Maize,34.0,1620.0,1700.0,1680.0,2009,5
135,2009-06-01,68398.0,West Bengal,Dakshin Dinajpur,Maize,62.0,1625.0,1725.0,1690.0,2009,6
164,2009-07-01,68548.0,West Bengal,Dakshin Dinajpur,Maize,65.0,1625.0,1730.0,1690.0,2009,7
191,2009-08-01,68618.0,West Bengal,Dakshin Dinajpur,Maize,63.0,1630.0,1730.0,1710.0,2009,8
221,2009-09-01,68760.0,West Bengal,Dakshin Dinajpur,Maize,61.0,1630.0,1725.0,1710.0,2009,9
250,2009-10-01,68852.0,West Bengal,Dakshin Dinajpur,Maize,58.0,1620.0,1725.0,1700.0,2009,10
293,2009-11-01,68909.0,West Bengal,Dakshin Dinajpur,Maize,55.0,1620.0,1725.0,1700.0,2009,11
317,2009-12-01,69040.0,West Bengal,Dakshin Dinajpur,Maize,52.0,1625.0,1720.0,1690.0,2009,12
346,2010-01-01,117394.0,West Bengal,Dakshin Dinajpur,Maize,35.0,1550.0,1590.0,2242.816890428117,2010,1
406,2010-02-01,123391.0,West Bengal,Dakshin Dinajpur,Maize,35.0,1540.0,1575.0,2242.816890428117,2010,2
453,2010-03-01,129725.0,West Bengal,Dakshin Dinajpur,Maize,15.0,1625.0,1635.0,2242.816890428117,2010,3
490,2010-04-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2010,4
491,2010-05-01,146920.0,West Bengal,Dakshin Dinajpur,Maize,25.0,1730.0,1750.0,2242.816890428117,2010,5
519,2010-06-01,150008.0,West Bengal,Dakshin Dinajpur,Maize,20.0,1765.0,1785.0,2242.816890428117,2010,6
579,2010-07-01,156776.0,West Bengal,Dakshin Dinajpur,Maize,20.0,1870.0,1895.0,2242.816890428117,2010,7
638,2010-08-01,163202.0,West Bengal,Dakshin Dinajpur,Maize,25.0,1985.0,2000.0,2242.816890428117,2010,8
696,2010-09-01,170022.0,West Bengal,Dakshin Dinajpur,Maize,10.0,1730.0,1820.0,2242.816890428117,2010,9
699,2010-10-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2010,10
700,2010-11-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2010,11
701,2010-12-01,,West Bengal,Dakshin Dinajpur,Maize,39.88172043010753,2242.1505376344085,2315.483870967742,2325.2423131551072,2010,12
702,2011-01-01,199778.0,West Bengal,Dakshin Dinajpur,Maize,20.0,1720.0,1820.0,1800.0,2011,1
709,2011-02-01,241497.0,West Bengal,Dakshin Dinajpur,Maize,29.0,2550.0,2635.0,2575.0,2011,2
715,2011-03-01,241650.0,West Bengal,Dakshin Dinajpur,Maize,28.0,2560.0,2640.0,2590.0,2011,3
721,2011-04-01,241926.0,West Bengal,Dakshin Dinajpur,Maize,28.0,2560.0,2650.0,2600.0,2011,4
727,2011-05-01,242224.0,West Bengal,Dakshin Dinajpur,Maize,28.0,2575.0,2650.0,2600.0,2011,5
733,2011-06-01,236259.0,West Bengal,Dakshin Dinajpur,Maize,41.0,2525.0,2650.0,2550.0,2011,6
784,2011-07-01,242833.0,West Bengal,Dakshin Dinajpur,Maize,31.0,2600.0,2700.0,2650.0,2011,7
846,2011-08-01,234988.0,West Bengal,Dakshin Dinajpur,Maize,35.0,2525.0,2600.0,2550.0,2011,8
900,2011-09-01,235273.0,West Bengal,Dakshin Dinajpur,Maize,28.0,2525.0,2625.0,2570.0,2011,9
908,2011-10-01,235565.0,West Bengal,Dakshin Dinajpur,Maize,37.0,2540.0,2625.0,2575.0,2011,10
916,2011-11-01,235825.0,West Bengal,Dakshin Dinajpur,Maize,38.0,2535.0,2630.0,2575.0,2011,11
924,2011-12-01,235975.0,West Bengal,Dakshin Dinajpur,Maize,40.0,2530.0,2640.0,2560.0,2011,12
932,2012-01-01,285218.0,West Bengal,Dakshin Dinajpur,Maize,50.0,1570.0,1580.0,1575.0,2012,1
1014,2012-02-01,285453.0,West Bengal,Dakshin Dinajpur,Maize,42.0,1560.0,1570.0,1565.0,2012,2
