,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,118,West Bengal,Nadia,Maize,27.5,1690.0,1710.0,1700.0,2008,1
49,2008-02-01,275,West Bengal,Nadia,Maize,20.0,1690.0,1710.0,1700.0,2008,2
140,2008-03-01,431,West Bengal,Nadia,Maize,20.0,1690.0,1710.0,1700.0,2008,3
238,2008-04-01,5407,West Bengal,Nadia,Maize,25.0,1790.0,1810.0,1800.0,2008,4
347,2008-05-01,738,West Bengal,Nadia,Maize,27.5,1690.0,1710.0,1700.0,2008,5
410,2008-06-01,808,West Bengal,Nadia,Maize,27.5,1690.0,1710.0,1700.0,2008,6
512,2008-07-01,983,West Bengal,Nadia,Maize,27.5,1690.0,1710.0,1700.0,2008,7
614,2008-08-01,1163,West Bengal,Nadia,Maize,20.0,1690.0,1710.0,1700.0,2008,8
716,2008-09-01,1344,West Bengal,Nadia,Maize,22.5,1690.0,1710.0,1700.0,2008,9
839,2008-10-01,1514,West Bengal,Nadia,Maize,27.5,1690.0,1710.0,1700.0,2008,10
910,2008-11-01,6578,West Bengal,Nadia,Maize,25.0,1790.0,1810.0,1800.0,2008,11
990,2008-12-01,1828,West Bengal,Nadia,Maize,27.0,1690.0,1710.0,1700.0,2008,12
1097,2009-01-01,58179,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,1
1146,2009-02-01,58368,West Bengal,Nadia,Maize,25.0,1600.0,1750.0,1650.0,2009,2
1187,2009-03-01,58527,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,3
1240,2009-04-01,58621,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,4
1292,2009-05-01,58752,West Bengal,Nadia,Maize,25.0,1750.0,1760.0,1755.0,2009,5
1326,2009-06-01,58880,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,6
1362,2009-07-01,59060,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,7
1396,2009-08-01,59180,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,8
1431,2009-09-01,59367,West Bengal,Nadia,Maize,1.5,1600.0,1650.0,1625.0,2009,9
1478,2009-10-01,59504,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,10
1528,2009-11-01,59587,West Bengal,Nadia,Maize,37.5,1750.0,1760.0,1755.0,2009,11
1572,2009-12-01,59792,West Bengal,Nadia,Maize,30.0,1750.0,1760.0,1755.0,2009,12
1593,2010-01-01,117421,West Bengal,Nadia,Maize,1.7,2000.0,2025.0,2242.816890428117,2010,1
1646,2010-02-01,123415,West Bengal,Nadia,Maize,37.5,2450.0,2455.0,2242.816890428117,2010,2
1712,2010-03-01,129540,West Bengal,Nadia,Maize,40.0,2500.0,2505.0,2242.816890428117,2010,3
1790,2010-04-01,136760,West Bengal,Nadia,Maize,40.0,2550.0,2555.0,2242.816890428117,2010,4
1865,2010-05-01,143242,West Bengal,Nadia,Maize,40.0,2550.0,2555.0,2242.816890428117,2010,5
1941,2010-06-01,150031,West Bengal,Nadia,Maize,50.0,2550.0,2550.0,2242.816890428117,2010,6
2016,2010-07-01,156801,West Bengal,Nadia,Maize,30.0,2690.0,2700.0,2242.816890428117,2010,7
2095,2010-08-01,163216,West Bengal,Nadia,Maize,35.0,2700.0,2700.0,2242.816890428117,2010,8
2223,2010-09-01,170040,West Bengal,Nadia,Maize,25.0,2730.0,2745.0,2242.816890428117,2010,9
2349,2010-10-01,176955,West Bengal,Nadia,Maize,30.0,2400.0,2450.0,2242.816890428117,2010,10
2480,2010-11-01,183651,West Bengal,Nadia,Maize,26.0,2690.0,2695.0,2242.816890428117,2010,11
2602,2010-12-01,189925,West Bengal,Nadia,Maize,25.0,2605.0,2615.0,2242.816890428117,2010,12
2714,2011-01-01,196703,West Bengal,Nadia,Maize,30.0,2660.0,2675.0,2665.0,2011,1
2828,2011-02-01,196842,West Bengal,Nadia,Maize,27.5,2655.0,2670.0,2660.0,2011,2
2939,2011-03-01,197116,West Bengal,Nadia,Maize,25.0,2655.0,2670.0,2660.0,2011,3
3074,2011-04-01,197378,West Bengal,Nadia,Maize,27.5,2655.0,2670.0,2660.0,2011,4
3206,2011-05-01,197631,West Bengal,Nadia,Maize,27.5,2655.0,2670.0,2660.0,2011,5
3363,2011-06-01,197914,West Bengal,Nadia,Maize,30.0,2655.0,2670.0,2660.0,2011,6
3508,2011-07-01,198198,West Bengal,Nadia,Maize,100.0,2335.0,2360.0,2350.0,2011,7
3673,2011-08-01,198408,West Bengal,Nadia,Maize,30.0,2655.0,2670.0,2660.0,2011,8
3833,2011-09-01,198534,West Bengal,Nadia,Maize,25.0,2655.0,2670.0,2660.0,2011,9
3970,2011-10-01,198800,West Bengal,Nadia,Maize,30.0,2655.0,2670.0,2660.0,2011,10
4111,2011-11-01,199043,West Bengal,Nadia,Maize,30.0,2655.0,2670.0,2660.0,2011,11
4295,2011-12-01,199306,West Bengal,Nadia,Maize,30.0,2655.0,2670.0,2660.0,2011,12
4466,2012-01-01,285234,West Bengal,Nadia,Maize,17.5,2565.0,2580.0,2570.0,2012,1
4621,2012-02-01,285478,West Bengal,Nadia,Maize,15.0,2565.0,2580.0,2570.0,2012,2
4781,2012-03-01,285714,West Bengal,Nadia,Maize,2.0,2150.0,2200.0,2175.0,2012,3
4967,2012-04-01,285917,West Bengal,Nadia,Maize,2.0,2150.0,2200.0,2175.0,2012,4
5155,2012-05-01,293085,West Bengal,Nadia,Maize,24.3,1500.0,1600.0,1550.0,2012,5
5291,2012-06-01,286349,West Bengal,Nadia,Maize,7.5,2100.0,2200.0,2150.0,2012,6
5420,2012-07-01,286587,West Bengal,Nadia,Maize,12.5,2395.0,2410.0,2400.0,2012,7
5551,2012-08-01,286709,West Bengal,Nadia,Maize,10.0,2395.0,2410.0,2400.0,2012,8
5686,2012-09-01,286967,West Bengal,Nadia,Maize,12.5,2395.0,2410.0,2400.0,2012,9
5798,2012-10-01,287245,West Bengal,Nadia,Maize,15.0,2395.0,2410.0,2400.0,2012,10
5926,2012-11-01,287512,West Bengal,Nadia,Maize,20.0,2395.0,2410.0,2400.0,2012,11
6018,2012-12-01,287772,West Bengal,Nadia,Maize,17.5,2395.0,2410.0,2400.0,2012,12
6126,2013-01-01,374749,West Bengal,Nadia,Maize,22.5,2795.0,2810.0,2800.0,2013,1
6178,2013-02-01,375052,West Bengal,Nadia,Maize,20.0,2795.0,2810.0,2800.0,2013,2
